 
  ,time,x,y,z
, 0.000, 0.090, 0.953, -0.762
, 0.050, 0.106, 0.953, -0.679
, 0.100, 0.075, 0.953, -0.638
, 0.150, 0.083, 0.969, -0.688
, 0.200, 0.129, 0.914, -0.646
, 0.250, 0.106, 0.922, -0.663
, 0.300, 0.083, 1.007, -0.720
, 0.350, 0.121, 0.899, -0.671
, 0.400, 0.098, 0.969, -0.679
, 0.450, 0.183, 0.922, -0.827
, 0.500, 0.121, 0.976, -0.712
, 0.550, 0.098, 0.938, -0.720
, 0.600, 0.113, 0.969, -0.729
, 0.650, 0.090, 0.945, -0.704
, 0.700, 0.113, 0.953, -0.712
, 0.750, 0.083, 0.969, -0.704
, 0.800, 0.090, 0.961, -0.704
, 0.850, 0.113, 0.961, -0.737
, 0.900, 0.106, 0.953, -0.671
, 0.950, 0.113, 0.938, -0.712
, 1.000, 0.090, 0.945, -0.688
, 1.050, 0.106, 0.953, -0.729
, 1.100, 0.098, 0.953, -0.696
, 1.150, 0.113, 0.953, -0.696
, 1.200, 0.075, 1.015, -0.720
, 1.250, 0.129, 0.945, -0.704
, 1.300, 0.052, 1.339, -0.729
, 1.350, 0.291, 0.644, -0.794
, 1.400, 0.067, 1.177, -0.753
, 1.450, 0.183, 0.683, -0.597
, 1.500, 0.098, 0.884, -0.646
, 1.550, 0.168, 0.722, -0.572
, 1.600, 0.175, 0.776, -0.704
, 1.650, 0.175, 0.891, -0.523
, 1.700, 0.067, 0.907, -0.745
, 1.750, 0.137, 0.953, -0.597
, 1.800, 0.137, 0.992, -0.671
, 1.850, 0.106, 0.899, -0.671
, 1.900, 0.028, 0.992, -0.663
, 1.950, 0.113, 0.899, -0.663
, 2.000, 0.121, 0.969, -0.655
, 2.050, 0.067, 0.938, -0.679
, 2.100, 0.098, 0.953, -0.663
, 2.150, 0.098, 0.922, -0.704
, 2.200, 0.075, 1.038, -0.655
, 2.250, -0.010, 0.922, -0.688
, 2.300, -0.010, 0.914, -0.679
, 2.350, 0.090, 1.023, -0.671
, 2.400, 0.206, 0.783, -0.630
, 2.450, -0.041, 0.938, -0.671
, 2.500, 0.083, 0.868, -0.663
, 2.550, 0.005, 0.961, -0.614
, 2.600, 0.005, 0.938, -0.679
, 2.650, -0.041, 0.953, -0.638
, 2.700, -0.010, 0.922, -0.638
, 2.750, -0.026, 0.961, -0.646
, 2.800, -0.002, 0.938, -0.646
, 2.850, -0.010, 0.938, -0.655
, 2.900, -0.010, 0.945, -0.622
, 2.950, -0.026, 0.938, -0.663
, 3.000, -0.018, 0.938, -0.638
, 3.050, -0.002, 0.945, -0.646
, 3.100, -0.010, 0.907, -0.655
, 3.150, -0.087, 0.853, -0.548
, 3.200, -0.026, 1.030, -0.646
, 3.250, 0.113, 0.976, -0.729
, 3.300, 0.021, 0.891, -0.622
, 3.350, 0.083, 0.899, -0.762
, 3.400, -0.010, 1.100, -0.597
