time,x,y,z,gx,gy,gz,barometer
0.04,0.03,0.13,1.00,-0.19,-0.11,0.07,0.00
0.041,0.03,0.13,1.00,-0.28,-0.05,0.08,0.00
0.1,0.02,0.10,0.98,-0.28,-0.05,0.08,0.00
0.103,0.02,0.10,0.98,0.11,-0.13,-0.04,0.00
0.164,0.02,0.09,0.97,0.11,-0.13,-0.04,0.00
0.171,0.02,0.09,0.97,0.02,-0.05,-0.01,0.00
0.227,0.06,0.11,0.99,0.02,-0.05,-0.01,0.00
0.237,0.06,0.11,0.99,-0.05,-0.05,0.03,0.00
0.29,0.04,0.10,0.99,-0.05,-0.05,0.03,0.00
0.306,0.04,0.10,0.99,0.04,-0.08,-0.00,0.00
0.354,0.04,0.10,0.98,0.04,-0.08,-0.00,0.00
0.372,0.04,0.10,0.98,-0.01,-0.11,0.01,0.00
0.422,0.06,0.11,0.98,-0.01,-0.11,0.01,0.00
0.439,0.06,0.11,0.98,-0.02,-0.06,0.03,0.00
0.482,0.06,0.10,0.99,-0.02,-0.06,0.03,0.00
0.506,0.06,0.10,0.99,-0.04,-0.03,0.02,0.00
0.547,0.06,0.09,0.98,-0.04,-0.03,0.02,0.00
0.594,0.06,0.09,0.98,-0.02,-0.07,0.04,0.00
0.608,0.06,0.09,0.99,-0.02,-0.07,0.04,0.00
0.641,0.06,0.09,0.99,-0.05,-0.08,-0.01,0.00
0.673,0.06,0.09,0.99,-0.05,-0.08,-0.01,0.00
0.708,0.06,0.09,0.99,-0.02,0.01,-0.03,0.00
0.739,0.07,0.09,0.98,-0.02,0.01,-0.03,0.00
0.777,0.07,0.09,0.98,-0.02,-0.11,0.00,0.00
0.804,0.08,0.08,0.99,-0.02,-0.11,0.00,0.00
0.866,0.08,0.08,0.99,-0.02,-0.07,-0.00,0.00
0.868,0.08,0.09,0.98,-0.02,-0.07,-0.00,0.00
0.909,0.08,0.09,0.98,-0.04,-0.12,-0.01,0.00
0.93,0.09,0.08,0.99,-0.04,-0.12,-0.01,0.00
0.979,0.09,0.08,0.99,-0.01,-0.10,-0.04,0.00
1.004,0.09,0.08,0.99,-0.01,-0.10,-0.04,0.00
1.044,0.09,0.08,0.99,0.01,-0.15,-0.04,0.00
1.133,0.09,0.08,0.99,0.02,-0.12,-0.02,0.00
1.135,0.10,0.08,0.99,0.02,-0.12,-0.02,0.00
1.178,0.10,0.08,0.99,-0.04,-0.09,-0.02,0.00
1.182,0.11,0.09,0.97,-0.04,-0.09,-0.02,0.00
1.245,0.11,0.08,0.99,-0.04,-0.09,-0.02,0.00
1.247,0.11,0.08,0.99,-0.09,-0.07,-0.02,0.00
1.308,0.12,0.09,0.98,-0.09,-0.07,-0.02,0.00
1.312,0.12,0.09,0.98,0.00,-0.10,-0.03,0.00
1.372,0.13,0.08,0.98,0.00,-0.10,-0.03,0.00
1.38,0.13,0.08,0.98,-0.05,-0.06,-0.01,0.00
1.434,0.14,0.08,0.99,-0.05,-0.06,-0.01,0.00
1.449,0.14,0.08,0.99,-0.04,-0.15,-0.00,0.00
1.517,0.14,0.07,0.99,-0.04,-0.15,-0.00,0.00
1.524,0.14,0.07,0.99,-0.09,-0.11,-0.01,0.00
1.563,0.15,0.07,0.98,-0.09,-0.11,-0.01,0.00
1.589,0.15,0.07,0.98,-0.04,-0.19,-0.02,0.00
1.629,0.16,0.07,0.97,-0.04,-0.19,-0.02,0.00
1.667,0.16,0.07,0.97,-0.02,-0.10,0.00,0.00
1.689,0.17,0.06,0.97,-0.02,-0.10,0.00,0.00
1.715,0.17,0.06,0.97,-0.04,-0.14,0.02,0.00
1.753,0.18,0.07,0.98,-0.04,-0.14,0.02,0.00
1.796,0.18,0.07,0.98,0.04,-0.13,0.00,0.00
1.827,0.18,0.07,0.98,0.04,-0.13,0.00,0.00
1.86,0.18,0.07,0.98,0.00,-0.10,-0.03,0.00
1.899,0.20,0.07,0.98,0.00,-0.10,-0.03,0.00
1.917,0.20,0.07,0.98,-0.06,-0.15,-0.00,0.00
1.962,0.20,0.07,0.98,-0.06,-0.15,-0.00,0.00
1.987,0.20,0.07,0.98,-0.05,-0.12,-0.02,0.00
2.008,0.21,0.06,0.97,-0.05,-0.12,-0.02,0.00
2.063,0.21,0.06,0.97,0.01,-0.21,0.01,0.00
2.08,0.21,0.06,0.97,0.01,-0.21,0.01,0.00
2.117,0.21,0.06,0.97,-0.08,-0.14,-0.05,0.00
2.134,0.23,0.06,0.97,-0.08,-0.14,-0.05,0.00
2.185,0.23,0.06,0.97,-0.05,-0.29,-0.01,0.00
2.206,0.25,0.05,0.96,-0.05,-0.29,-0.01,0.00
2.253,0.25,0.05,0.96,-0.12,-0.21,0.02,0.00
2.32,0.25,0.05,0.96,0.04,-0.19,-0.01,0.00
2.326,0.25,0.05,0.96,0.04,-0.19,-0.01,0.00
2.448,0.25,0.05,0.96,0.02,-0.31,-0.04,0.00
2.457,0.27,0.04,0.95,0.02,-0.31,-0.04,0.00
2.458,0.28,0.05,0.96,0.02,-0.31,-0.04,0.00
2.46,0.28,0.05,0.96,0.04,-0.18,-0.02,0.00
2.515,0.31,0.04,0.96,0.04,-0.18,-0.02,0.00
2.52,0.31,0.04,0.96,0.03,-0.27,-0.04,0.00
2.579,0.32,0.05,0.94,0.03,-0.27,-0.04,0.00
2.587,0.32,0.05,0.94,-0.01,-0.23,-0.04,0.00
2.643,0.33,0.05,0.94,-0.01,-0.23,-0.04,0.00
2.658,0.33,0.05,0.94,-0.04,-0.16,-0.00,0.00
2.708,0.34,0.05,0.94,-0.04,-0.16,-0.00,0.00
2.722,0.34,0.05,0.94,-0.01,-0.29,-0.00,0.00
2.809,0.36,0.05,0.93,-0.01,-0.29,-0.00,0.00
2.827,0.36,0.05,0.93,0.00,-0.15,-0.03,0.00
2.835,0.37,0.05,0.93,0.00,-0.15,-0.03,0.00
2.861,0.37,0.05,0.93,-0.05,-0.26,-0.03,0.00
2.924,0.39,0.05,0.92,-0.05,-0.26,-0.03,0.00
2.935,0.39,0.05,0.92,-0.01,-0.18,0.03,0.00
2.961,0.39,0.05,0.92,-0.01,-0.18,0.03,0.00
2.991,0.39,0.05,0.92,0.01,-0.23,-0.01,0.00
3.025,0.41,0.05,0.92,0.01,-0.23,-0.01,0.00
3.071,0.41,0.05,0.92,-0.09,-0.23,-0.02,0.00
3.089,0.43,0.04,0.91,-0.09,-0.23,-0.02,0.00
3.124,0.43,0.04,0.91,-0.02,-0.17,-0.01,0.00
3.153,0.43,0.04,0.90,-0.02,-0.17,-0.01,0.00
3.208,0.43,0.04,0.90,0.12,-0.23,-0.01,0.00
3.237,0.44,0.04,0.90,0.12,-0.23,-0.01,0.00
3.259,0.44,0.04,0.90,-0.09,-0.17,-0.02,0.00
3.279,0.46,0.05,0.89,-0.09,-0.17,-0.02,0.00
3.332,0.46,0.05,0.89,0.02,-0.24,0.04,0.00
3.47,0.48,0.04,0.87,0.02,-0.24,0.04,0.00
3.471,0.48,0.04,0.87,0.04,-0.18,0.03,0.00
3.472,0.47,0.04,0.88,0.04,-0.18,0.03,0.00
3.473,0.47,0.04,0.88,0.14,-0.44,0.11,0.00
3.527,0.47,0.04,0.88,-0.09,-0.11,0.04,0.00
3.532,0.51,0.06,0.91,-0.09,-0.11,0.04,0.00
3.605,0.51,0.06,0.91,0.16,-0.43,0.16,0.00
3.607,0.52,0.04,0.87,0.16,-0.43,0.16,0.00
3.66,0.53,0.05,0.85,0.16,-0.43,0.16,0.00
3.662,0.53,0.05,0.85,0.13,-0.16,0.04,0.00
3.74,0.54,0.06,0.83,0.13,-0.16,0.04,0.00
3.743,0.54,0.06,0.83,0.01,-0.03,-0.09,0.00
3.787,0.55,0.06,0.83,0.01,-0.03,-0.09,0.00
3.797,0.55,0.06,0.83,-0.13,-0.20,0.01,0.00
3.85,0.58,0.06,0.82,-0.13,-0.20,0.01,0.00
3.871,0.58,0.06,0.82,-0.06,-0.07,-0.02,0.00
3.914,0.56,0.05,0.82,-0.06,-0.07,-0.02,0.00
3.93,0.56,0.05,0.82,0.09,-0.16,0.00,0.00
3.978,0.58,0.06,0.82,0.09,-0.16,0.00,0.00
4.0,0.58,0.06,0.82,0.06,-0.32,0.03,0.00
4.041,0.59,0.06,0.81,0.06,-0.32,0.03,0.00
4.064,0.59,0.06,0.81,0.07,-0.22,0.02,0.00
4.104,0.61,0.06,0.81,0.07,-0.22,0.02,0.00
4.131,0.61,0.06,0.81,-0.03,-0.18,0.01,0.00
4.168,0.63,0.06,0.80,-0.03,-0.18,0.01,0.00
4.198,0.63,0.06,0.80,-0.09,-0.01,0.02,0.00
4.233,0.63,0.07,0.79,-0.09,-0.01,0.02,0.00
4.265,0.63,0.07,0.79,-0.04,-0.03,0.02,0.00
4.295,0.61,0.04,0.77,-0.04,-0.03,0.02,0.00
4.332,0.61,0.04,0.77,0.11,-0.07,-0.03,0.00
4.358,0.63,0.04,0.79,0.11,-0.07,-0.03,0.00
4.4,0.63,0.04,0.79,-0.01,-0.09,0.02,0.00
4.425,0.62,0.07,0.81,-0.01,-0.09,0.02,0.00
4.467,0.62,0.07,0.81,0.01,0.04,-0.02,0.00
4.486,0.64,0.06,0.78,0.01,0.04,-0.02,0.00
4.534,0.64,0.06,0.78,-0.12,-0.03,0.03,0.00
4.549,0.64,0.06,0.78,-0.12,-0.03,0.03,0.00
4.601,0.64,0.06,0.78,-0.17,0.04,0.00,0.00
4.613,0.63,0.05,0.79,-0.17,0.04,0.00,0.00
4.668,0.63,0.05,0.79,-0.16,0.02,0.03,0.00
4.735,0.63,0.05,0.79,-0.06,0.12,-0.05,0.00
4.74,0.63,0.03,0.78,-0.06,0.12,-0.05,0.00
4.803,0.63,0.03,0.78,-0.03,-0.11,0.02,0.00
4.804,0.60,0.03,0.77,-0.03,-0.11,0.02,0.00
4.867,0.63,0.02,0.80,-0.03,-0.11,0.02,0.00
4.869,0.63,0.02,0.80,-0.10,-0.01,-0.02,0.00
4.93,0.63,0.02,0.79,-0.10,-0.01,-0.02,0.00
4.937,0.63,0.02,0.79,-0.05,0.04,0.00,0.00
4.994,0.62,0.02,0.78,-0.05,0.04,0.00,0.00
5.004,0.62,0.02,0.78,0.03,-0.05,0.06,0.00
5.071,0.63,0.02,0.79,0.03,-0.05,0.06,0.00
5.073,0.63,0.02,0.79,-0.02,0.06,-0.01,0.00
