time,x,y,z,gx,gy,gz,barometer
0.034,0.01,0.01,1.00,-0.11,-0.06,-0.01,0.00
0.044,0.01,0.02,0.99,-0.11,-0.06,-0.01,0.00
0.096,0.01,0.02,0.99,-0.01,-0.05,0.05,0.00
0.108,0.00,0.01,0.99,-0.01,-0.05,0.05,0.00
0.154,0.00,0.01,0.99,-0.06,-0.05,0.01,0.00
0.171,-0.01,-0.00,0.99,-0.06,-0.05,0.01,0.00
0.222,-0.01,-0.00,0.99,-0.01,-0.02,-0.00,0.00
0.24,-0.02,-0.01,0.98,-0.01,-0.02,-0.00,0.00
0.288,-0.02,-0.01,0.98,-0.06,-0.03,0.08,0.00
0.298,-0.02,-0.00,0.98,-0.06,-0.03,0.08,0.00
0.362,-0.02,-0.00,0.98,-0.00,0.06,0.11,0.00
0.367,-0.02,0.01,0.99,-0.00,0.06,0.11,0.00
0.423,-0.02,0.01,0.99,-0.13,-0.02,0.10,0.00
0.426,-0.03,0.00,1.00,-0.13,-0.02,0.10,0.00
0.49,-0.04,-0.03,0.99,-0.13,-0.02,0.10,0.00
0.495,-0.04,-0.03,0.99,0.09,0.16,0.19,0.00
0.553,0.04,-0.05,1.02,0.09,0.16,0.19,0.00
0.579,0.04,-0.05,1.02,-0.11,0.03,-0.10,0.00
0.616,0.03,-0.02,0.99,-0.11,0.03,-0.10,0.00
0.625,0.03,-0.02,0.99,0.06,-0.06,-0.01,0.00
0.699,0.00,0.04,0.98,0.06,-0.06,-0.01,0.00
0.701,0.00,0.04,0.98,0.05,0.18,0.25,0.00
0.743,0.01,-0.05,0.98,0.05,0.18,0.25,0.00
0.759,0.01,-0.05,0.98,0.31,0.50,-0.06,0.00
0.858,0.01,-0.05,0.98,0.08,0.82,0.14,0.00
0.87,0.03,0.03,1.00,0.08,0.82,0.14,0.00
0.893,0.03,0.03,1.00,0.35,0.91,-0.20,0.00
0.934,0.12,0.03,0.95,0.35,0.91,-0.20,0.00
1.013,0.12,0.03,0.95,-0.36,1.86,0.15,0.00
1.029,0.21,0.00,1.01,-0.36,1.86,0.15,0.00
1.032,0.21,0.00,1.01,-0.19,2.55,0.10,0.00
1.062,0.31,0.01,0.97,-0.19,2.55,0.10,0.00
1.114,0.31,0.01,0.97,0.12,2.11,0.23,0.00
1.125,0.44,0.02,0.84,0.12,2.11,0.23,0.00
1.161,0.44,0.02,0.84,0.07,4.23,0.25,0.00
1.188,0.60,0.00,0.78,0.07,4.23,0.25,0.00
1.228,0.60,0.00,0.78,0.13,3.10,0.47,0.00
1.252,0.73,0.03,0.56,0.13,3.10,0.47,0.00
1.299,0.73,0.03,0.56,-0.27,4.22,0.43,0.00
1.325,0.86,0.05,0.39,-0.27,4.22,0.43,0.00
1.362,0.86,0.05,0.39,0.03,3.94,0.42,0.00
1.378,0.91,0.09,0.14,0.03,3.94,0.42,0.00
1.429,0.91,0.09,0.14,0.20,2.89,0.41,0.00
1.442,0.90,0.13,-0.18,0.20,2.89,0.41,0.00
1.496,0.90,0.13,-0.18,0.10,2.97,0.06,0.00
1.505,0.86,0.14,-0.34,0.10,2.97,0.06,0.00
1.563,0.86,0.14,-0.34,-1.40,2.60,-0.34,0.00
1.569,0.76,0.17,-0.59,-1.40,2.60,-0.34,0.00
1.631,0.76,0.17,-0.59,-0.74,1.89,-0.16,0.00
1.632,0.68,0.18,-0.66,-0.74,1.89,-0.16,0.00
1.696,0.65,0.14,-0.57,-0.74,1.89,-0.16,0.00
1.698,0.65,0.14,-0.57,0.95,2.61,0.05,0.00
1.761,0.47,0.12,-0.86,0.95,2.61,0.05,0.00
1.765,0.47,0.12,-0.86,1.04,2.21,-0.13,0.00
1.823,0.44,0.07,-0.89,1.04,2.21,-0.13,0.00
1.832,0.44,0.07,-0.89,1.05,2.20,0.34,0.00
1.897,0.23,0.08,-0.92,1.05,2.20,0.34,0.00
1.9,0.23,0.08,-0.92,0.55,1.55,0.32,0.00
1.951,0.05,0.03,-0.83,0.55,1.55,0.32,0.00
1.966,0.05,0.03,-0.83,-1.47,1.81,0.40,0.00
2.033,0.05,0.03,-0.83,0.40,1.89,-0.12,0.00
2.078,0.04,0.14,-1.18,0.40,1.89,-0.12,0.00
2.1,0.04,0.14,-1.18,-0.07,1.86,0.24,0.00
2.141,-0.12,0.08,-0.94,-0.07,1.86,0.24,0.00
2.168,-0.12,0.08,-0.94,-0.34,2.32,0.01,0.00
2.205,-0.18,0.05,-0.92,-0.34,2.32,0.01,0.00
2.235,-0.18,0.05,-0.92,-0.11,2.47,0.53,0.00
2.269,-0.39,0.07,-0.90,-0.11,2.47,0.53,0.00
2.303,-0.39,0.07,-0.90,-0.25,2.03,0.70,0.00
2.332,-0.48,0.13,-0.77,-0.25,2.03,0.70,0.00
2.369,-0.48,0.13,-0.77,0.10,2.66,-1.47,0.00
2.395,-0.57,0.13,-0.74,0.10,2.66,-1.47,0.00
2.445,-0.57,0.13,-0.74,-0.83,1.16,1.24,0.00
2.459,-0.84,0.11,-0.65,-0.83,1.16,1.24,0.00
2.504,-0.84,0.11,-0.65,0.01,1.65,-0.66,0.00
2.523,-0.83,0.19,-0.58,0.01,1.65,-0.66,0.00
2.571,-0.83,0.19,-0.58,0.05,2.86,0.35,0.00
2.587,-0.93,0.15,-0.52,0.05,2.86,0.35,0.00
2.638,-0.93,0.15,-0.52,-0.45,5.64,0.84,0.00
2.652,-1.01,0.13,-0.31,-0.45,5.64,0.84,0.00
2.732,-1.01,0.13,-0.31,0.60,2.93,0.05,0.00
2.739,-1.01,0.08,0.06,0.60,2.93,0.05,0.00
2.781,-1.01,0.08,0.06,0.79,4.67,1.02,0.00
2.784,-0.91,0.07,0.29,0.79,4.67,1.02,0.00
2.839,-0.91,0.07,0.29,-0.20,2.04,0.05,0.00
2.841,-0.83,0.09,0.49,-0.20,2.04,0.05,0.00
2.905,-0.81,0.05,0.61,-0.20,2.04,0.05,0.00
2.906,-0.81,0.05,0.61,0.18,2.26,0.21,0.00
2.967,-0.69,0.01,0.76,0.18,2.26,0.21,0.00
2.979,-0.69,0.01,0.76,0.38,2.69,0.28,0.00
3.031,-0.50,0.03,0.84,0.38,2.69,0.28,0.00
3.041,-0.50,0.03,0.84,0.38,1.93,0.35,0.00
3.095,-0.40,0.04,0.87,0.38,1.93,0.35,0.00
3.108,-0.40,0.04,0.87,0.21,1.37,0.39,0.00
3.158,-0.39,0.04,0.90,0.21,1.37,0.39,0.00
3.175,-0.39,0.04,0.90,-0.10,1.58,0.53,0.00
3.242,-0.39,0.04,0.90,0.14,1.12,-0.28,0.00
3.286,-0.42,0.04,0.89,0.14,1.12,-0.28,0.00
3.309,-0.42,0.04,0.89,0.50,0.03,-0.46,0.00
3.349,-0.21,0.02,1.02,0.50,0.03,-0.46,0.00
3.388,-0.21,0.02,1.02,-0.42,0.42,-0.64,0.00
3.413,-0.16,0.11,0.97,-0.42,0.42,-0.64,0.00
3.444,-0.16,0.11,0.97,-0.22,0.13,0.38,0.00
3.481,-0.13,0.03,0.96,-0.22,0.13,0.38,0.00
3.51,-0.13,0.03,0.96,0.42,0.08,0.17,0.00
3.54,-0.14,0.03,0.96,0.42,0.08,0.17,0.00
3.577,-0.14,0.03,0.96,0.01,0.36,-0.02,0.00
3.608,-0.17,0.08,1.02,0.01,0.36,-0.02,0.00
3.645,-0.17,0.08,1.02,-0.64,0.52,-0.28,0.00
3.667,-0.14,0.09,1.01,-0.64,0.52,-0.28,0.00
3.712,-0.14,0.09,1.01,0.02,1.06,0.40,0.00
3.731,-0.06,0.01,0.99,0.02,1.06,0.40,0.00
3.779,-0.06,0.01,0.99,0.56,0.43,-0.36,0.00
3.794,-0.00,-0.01,1.00,0.56,0.43,-0.36,0.00
3.847,-0.00,-0.01,1.00,0.11,0.33,0.06,0.00
3.858,-0.02,0.03,0.99,0.11,0.33,0.06,0.00
3.913,-0.02,0.03,0.99,-0.11,0.31,-0.03,0.00
3.922,0.01,0.05,0.97,-0.11,0.31,-0.03,0.00
3.981,0.01,0.05,0.97,0.06,-0.14,-0.24,0.00
3.986,0.09,0.09,0.98,0.06,-0.14,-0.24,0.00
4.048,0.09,0.09,0.98,-0.41,-0.17,-0.03,0.00
